"NEW.ID_PROG";"BIOGEOREF";"REGBIOGEO";"HABITAT";"BIOGEO_HAB";"ALT";"LON";"LAT"
"77";"National";"Mediterraneen";"STOC-rozo";"National_STOC-rozo";4;4,6333330000006;43,6684380000277
"78";"National";"Atlantique_central";"Aquatique";"National_Aquatique";23;1,66368900000456;50,8871690000231
"79";"National";"Continental";"Terrestre";"National_Terrestre";457;4,36550000000293;47,2242390000168
"8";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";26;-0,371406;47,484315
"80";"National";"Mediterraneen";"STOC-rozo";"National_STOC-rozo";294;9,42714000003436;42,5542449999797
"802";"National";"Continental";"Terrestre";"National_Terrestre";260;6,112222;48,505278
"803";"National";"Continental";"Terrestre";"National_Terrestre";526;6,065;48,411667
"804";"National";"Continental";"Terrestre";"National_Terrestre";298;6,819087;48,429697
"805";"National";"Continental";"Terrestre";"National_Terrestre";246;6,595282;48,520393
"806";"National";"Continental";"Terrestre";"National_Terrestre";340;5,777559;48,597797
"807";"National";"Continental";"Terrestre";"National_Terrestre";303;5,963333;48,614167
"808";"National";"Continental";"Terrestre";"National_Terrestre";420;5,853889;49,478611
"809";"National";"Continental";"Terrestre";"National_Terrestre";425;5,899167;49,484722
"810";"National";"Continental";"Terrestre";"National_Terrestre";219;6,135556;48,719722
"811";"National";"Continental";"Terrestre";"National_Terrestre";215;5,784444;49,119722
"812";"National";"Continental";"Terrestre";"National_Terrestre";186;5,866389;49,149722
"813";"National";"Continental";"Terrestre";"National_Terrestre";634;2,63342;46,02799
"82";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";36;2,51468500000233;50,6915280000382
"820";"National";"Continental";"Terrestre";"National_Terrestre";159;7,671389;48,874167
"822";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";39;2,583333;50,483333
"825";"National";"Continental";"Terrestre";"National_Terrestre";370;1,429306;46,21405
"83";"National";"Continental";"Terrestre";"National_Terrestre";257;6,07887499999611;47,3372649999686
"84";"National";"Continental";"Terrestre";"National_Terrestre";472;5,70176699999639;46,6226689999986
"842";"National";"Atlantique_central";"Aquatique";"National_Aquatique";3;-0,537911;49,344381
"844";"Atlantique";"Lusitanien";"Terrestre";"Atlantique_Terrestre";8;-0,364167;44,677778
"845";"National";"Continental";"Terrestre";"National_Terrestre";501;5,411472;45,431222
"848";"Atlantique";"Atlantique_central";"Terrestre";"Atlantique_Terrestre";35;-3,14533;48,736628
