"YEAR";"BIOGEOREF";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
2021;"Atlantique";1,36607142857143;2,55681818181818;3,07894736842105;5,27985074626866;6,38333333333333;"CARINA"
2022;"Atlantique";2;2,5;2,72727272727273;3;3,89230769230769;"CARINA"
1991;"Atlantique";1,32352941176471;1,32352941176471;1,32352941176471;1,32352941176471;1,32352941176471;"CARLIS"
1992;"Atlantique";0,864016172506739;0,925876010781671;0,994609164420485;1,0633423180593;1,12520215633423;"CARLIS"
1993;"Atlantique";1,34285714285714;1,42857142857143;1,52380952380952;1,61904761904762;1,7047619047619;"CARLIS"
1994;"Atlantique";4,28571428571429;4,28571428571429;4,28571428571429;4,28571428571429;4,28571428571429;"CARLIS"
1995;"Atlantique";1,21285714285714;1,32857142857143;1,45714285714286;1,58571428571429;1,70142857142857;"CARLIS"
1996;"Atlantique";0,666666666666667;0,666666666666667;0,666666666666667;0,666666666666667;0,666666666666667;"CARLIS"
1997;"Atlantique";0,882352941176471;0,882352941176471;0,882352941176471;0,882352941176471;0,882352941176471;"CARLIS"
1999;"Atlantique";2,57142857142857;2,57142857142857;2,57142857142857;2,57142857142857;2,57142857142857;"CARLIS"
2000;"Atlantique";0,921428571428571;1,71428571428571;2,4;3,46153846153846;4,72453222453222;"CARLIS"
2001;"Atlantique";0,751201923076923;1,88701923076923;2,43956043956044;5,26190476190476;12,5261904761905;"CARLIS"
2002;"Atlantique";0,93445945945946;1,90555555555556;2,31111111111111;3,17142857142857;4,80357142857143;"CARLIS"
2003;"Atlantique";1,265;1,85;2,5;3,125;3,6875;"CARLIS"
2004;"Atlantique";1;1,28571428571429;2,19642857142857;2,4375;3,34134615384615;"CARLIS"
2005;"Atlantique";1,15;2,5;2,5;4,61538461538461;4,78153846153846;"CARLIS"
2006;"Atlantique";0,92967032967033;1,58241758241758;2,30769230769231;3,65384615384615;4,86538461538462;"CARLIS"
2007;"Atlantique";1,26428571428571;1,82142857142857;2,27142857142857;2,90769230769231;3,88461538461538;"CARLIS"
2008;"Atlantique";0,886813186813187;1,15384615384615;2;2,14285714285714;5,12337662337663;"CARLIS"
2009;"Atlantique";0,953571428571429;1,82142857142857;2,30769230769231;2,6969696969697;2,95909090909091;"CARLIS"
2010;"Atlantique";1,66660714285714;2,20178571428571;3,50769230769231;5,21153846153846;6,82115384615385;"CARLIS"
2011;"Atlantique";0,905357142857143;1,33928571428571;1,61538461538462;1,79807692307692;1,97980769230769;"CARLIS"
