"YEAR";"AGE_first";"SP";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
1999;"JUV";"SYLATR";"Court";0;0;0;0,00892857142857143;0,108928571428571;"Terrestre"
2000;"JUV";"SYLATR";"Court";0;0;0;0;0,0159574468085106;"Terrestre"
2001;"JUV";"SYLATR";"Court";0;0;0;0;0;"Terrestre"
2002;"JUV";"SYLATR";"Court";0;0;0;0;0,0906386066763423;"Terrestre"
2003;"JUV";"SYLATR";"Court";0;0;0;0;0,106089743589744;"Terrestre"
2004;"JUV";"SYLATR";"Court";0;0;0;0;0,0222152690863579;"Terrestre"
2005;"JUV";"SYLATR";"Court";0;0;0;0;0,0610991379310344;"Terrestre"
2006;"JUV";"SYLATR";"Court";0;0;0;0;0,106418918918919;"Terrestre"
2007;"JUV";"SYLATR";"Court";0;0;0;0;0,0979166666666664;"Terrestre"
2008;"JUV";"SYLATR";"Court";0;0;0;0;0,30625;"Terrestre"
2009;"JUV";"SYLATR";"Court";0;0;0;0;0,249285714285714;"Terrestre"
2010;"JUV";"SYLATR";"Court";0;0;0;0;0,139583333333333;"Terrestre"
2011;"JUV";"SYLATR";"Court";0;0;0;0;0,110769230769231;"Terrestre"
2012;"JUV";"SYLATR";"Court";0;0;0;0;0,0440476190476189;"Terrestre"
2013;"JUV";"SYLATR";"Court";0;0;0;0;0,313333333333333;"Terrestre"
2014;"JUV";"SYLATR";"Court";0;0;0;0,0298573975044563;0,128571428571428;"Terrestre"
2015;"JUV";"SYLATR";"Court";0;0;0;0;0,110625;"Terrestre"
2016;"JUV";"SYLATR";"Court";0;0;0;0;0,0696428571428571;"Terrestre"
2017;"JUV";"SYLATR";"Court";0;0;0;0;0,25;"Terrestre"
2018;"JUV";"SYLATR";"Court";0;0;0;0;0,203977272727273;"Terrestre"
2019;"JUV";"SYLATR";"Court";0;0;0;0;0,115625;"Terrestre"
2020;"JUV";"SYLATR";"Court";0;0;0;0;0,101136363636364;"Terrestre"
2021;"JUV";"SYLATR";"Court";0;0;0;0;0,104722222222222;"Terrestre"
1989;"AD";"TURMER";"Court";0,00681818181818179;0,0681818181818182;0,136363636363636;0,204545454545455;0,265909090909091;"Terrestre"
1990;"AD";"TURMER";"Court";0;0;0,0901856763925729;0,153343023255814;0,362037037037037;"Terrestre"
1991;"AD";"TURMER";"Court";0;0,0416666666666667;0,111111111111111;0,177083333333333;0,240131578947368;"Terrestre"
1992;"AD";"TURMER";"Court";0;0;0,111111111111111;0,226190476190476;0,3375;"Terrestre"
1993;"AD";"TURMER";"Court";0;0;0,0208333333333333;0,2375;0,375367647058824;"Terrestre"
1994;"AD";"TURMER";"Court";0;0;0,0394736842105263;0,166666666666667;0,373541666666667;"Terrestre"
1995;"AD";"TURMER";"Court";0;0;0;0,285714285714286;0,319288645690835;"Terrestre"
1996;"AD";"TURMER";"Court";0;0,0147058823529412;0,117647058823529;0,154761904761905;0,256818181818182;"Terrestre"
1997;"AD";"TURMER";"Court";0,0125;0,0755494505494506;0,168181818181818;0,241071428571429;0,338392857142857;"Terrestre"
1998;"AD";"TURMER";"Court";0;0;0;0,118055555555556;0,263888888888889;"Terrestre"
1999;"AD";"TURMER";"Court";0;0;0,125;0,2;0,32;"Terrestre"
2000;"AD";"TURMER";"Court";0;0;0,111111111111111;0,25;0,285714285714286;"Terrestre"
2001;"AD";"TURMER";"Court";0;0;0,0692307692307692;0,290229885057471;0,626644736842105;"Terrestre"
2002;"AD";"TURMER";"Court";0;0;0;0,125;0,193055555555555;"Terrestre"
2003;"AD";"TURMER";"Court";0;0;0,0801282051282051;0,136554621848739;0,303977272727272;"Terrestre"
2004;"AD";"TURMER";"Court";0;0;0;0,153333333333333;0,311666666666667;"Terrestre"
2005;"AD";"TURMER";"Court";0;0;0;0,142857142857143;0,345833333333333;"Terrestre"
2006;"AD";"TURMER";"Court";0;0;0,111111111111111;0,2;0,386363636363636;"Terrestre"
